"Arrangement","Account","CURRENCY","Start date","Maturity Date","Description","Customer #","Customer Name","Customer Role","Balance","Status"
"AA23064DCWF7","100000113454","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255591","TESTER191","Beneficial Owner","0.00","Not Funded"
"AA23064LKRTH","100000113489","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255591","TESTER191","Beneficial Owner","0.00","Not Funded"
"AA2306460HD3","100000113497","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255588","TESTER188","Beneficial Owner","0.00","Not Funded"
"AA23064C2YYT","100000113508","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255587","TESTER187","Beneficial Owner","0.00","Not Funded"
"AA23064QRNV9","100000113543","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255585","TESTER185","Beneficial Owner","0.00","Not Funded"
"AA23064VFFXJ","100000113567","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255593","TESTER193","Beneficial Owner","0.00","Not Funded"
"AA23064CGJKP","100000113586","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255588","TESTER188","Beneficial Owner","0.00","Not Funded"
"AA23064KBSVY","100000113594","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255592","TESTER192","Beneficial Owner","0.00","Not Funded"
"AA230645LBLM","100000113608","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255589","TESTER189","Beneficial Owner","0.00","Not Funded"
"AA2306448MS9","100000113659","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255593","TESTER193","Beneficial Owner","0.00","Not Funded"
"AA23064Y3FD5","100000113667","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255587","TESTER187","Beneficial Owner","0.00","Not Funded"
"AA230643WC3N","100000113683","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255592","TESTER192","Beneficial Owner","0.00","Not Funded"
"AA23064K43HT","100000113713","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255589","TESTER189","Beneficial Owner","0.00","Not Funded"
"AA23064MGVR9","100000113721","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255585","TESTER185","Beneficial Owner","0.00","Not Funded"
"AA23064XKXWL","100000113737","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255597","TESTER197","Beneficial Owner","0.00","Not Funded"
"AA23064FX18Y","100000113748","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255595","TESTER195","Beneficial Owner","0.00","Not Funded"
"AA23064NGLHM","100000113764","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255584","TESTER184","Beneficial Owner","0.00","Not Funded"
"AA23064L1VDN","100000113772","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255587","TESTER187","Beneficial Owner","0.00","Not Funded"
"AA23064TLYXS","100000113799","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255597","TESTER197","Beneficial Owner","0.00","Not Funded"
"AA230640JKZB","100000113802","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255594","TESTER194","Beneficial Owner","0.00","Not Funded"
"AA2306483YY8","100000113829","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255585","TESTER185","Beneficial Owner","0.00","Not Funded"
"AA23064PMP6Z","100000113837","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255587","TESTER187","Beneficial Owner","0.00","Not Funded"
"AA230645HDDS","100000113861","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255589","TESTER189","Beneficial Owner","0.00","Not Funded"
"AA23064RWGR2","100000113918","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255589","TESTER189","Beneficial Owner","0.00","Not Funded"
"AA2306468YKP","100000113934","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255596","TESTER196","Beneficial Owner","0.00","Not Funded"
"AA23064PNK21","100000113969","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255587","TESTER187","Beneficial Owner","0.00","Not Funded"
"AA230641W7B4","100000113985","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255584","TESTER184","Beneficial Owner","0.00","Not Funded"
"AA230641RWW1","100000114008","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255599","TESTER199","Beneficial Owner","0.00","Not Funded"
"AA230649BTZC","100000114019","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255588","TESTER188","Beneficial Owner","0.00","Not Funded"
"AA23064HJ1SQ","100000114043","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255590","TESTER190","Beneficial Owner","0.00","Not Funded"
"AA23064JYSDP","100000114067","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255589","TESTER189","Beneficial Owner","0.00","Not Funded"
"AA23064ZMQF7","100000114078","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255594","TESTER194","Beneficial Owner","0.00","Not Funded"
"AA23064PKV9B","100000114108","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255593","TESTER193","Beneficial Owner","0.00","Not Funded"
"AA23064W91BG","100000114132","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255596","TESTER196","Beneficial Owner","0.00","Not Funded"
"AA230648KBB1","100000114148","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255584","TESTER184","Beneficial Owner","0.00","Not Funded"
"AA23064W6G2S","100000114167","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255592","TESTER192","Beneficial Owner","0.00","Not Funded"
"AA23064X6GCM","100000114183","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255591","TESTER191","Beneficial Owner","0.00","Not Funded"
"AA23064763R7","100000114237","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255593","TESTER193","Beneficial Owner","0.00","Not Funded"
"AA23064P2RWX","100000114248","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255595","TESTER195","Beneficial Owner","0.00","Not Funded"
"AA230649CGR5","100000114256","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255598","TESTER198","Beneficial Owner","0.00","Not Funded"
"AA23064H00XW","100000114272","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255588","TESTER188","Beneficial Owner","0.00","Not Funded"
"AA23064KKT34","100000114302","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255592","TESTER192","Beneficial Owner","0.00","Not Funded"
"AA23064RS6RP","100000114345","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255602","TESTER202","Beneficial Owner","0.00","Not Funded"
"AA230640V80Y","100000114353","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255597","TESTER197","Beneficial Owner","0.00","Not Funded"
"AA230643SMB3","100000114396","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255593","TESTER193","Beneficial Owner","0.00","Not Funded"
"AA23064PMGKP","100000114418","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255592","TESTER192","Beneficial Owner","0.00","Not Funded"
"AA23064X6959","100000114426","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255599","TESTER199","Beneficial Owner","0.00","Not Funded"
"AA23064FRV0L","100000114434","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255594","TESTER194","Beneficial Owner","0.00","Not Funded"
"AA23064N1W0M","100000114442","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255603","TESTER203","Beneficial Owner","0.00","Not Funded"
"AA23064VMTY3","100000114485","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255596","TESTER196","Beneficial Owner","0.00","Not Funded"
"AA23064Y6LDV","100000114507","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255598","TESTER198","Beneficial Owner","0.00","Not Funded"
"AA23064646JR","100000114515","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255601","TESTER201","Beneficial Owner","0.00","Not Funded"
"AA23064NTCDG","100000114547","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255595","TESTER195","Beneficial Owner","0.00","Not Funded"
"AA2306400VT3","100000114582","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255602","TESTER202","Beneficial Owner","0.00","Not Funded"
"AA230646T485","100000114598","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255606","TESTER206","Beneficial Owner","0.00","Not Funded"
"AA230649J79N","100000114612","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255599","TESTER199","Beneficial Owner","0.00","Not Funded"
"AA23064YM800","100000114628","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255597","TESTER197","Beneficial Owner","0.00","Not Funded"
"AA230642XZNV","100000114639","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255594","TESTER194","Beneficial Owner","0.00","Not Funded"
"AA23064X73ZB","100000114671","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255594","TESTER194","Beneficial Owner","0.00","Not Funded"
"AA23064NPT53","100000114717","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255596","TESTER196","Beneficial Owner","0.00","Not Funded"
"AA2306483XLN","100000114728","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255601","TESTER201","Beneficial Owner","0.00","Not Funded"
"AA23064Z4BZ0","100000114736","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255596","TESTER196","Beneficial Owner","0.00","Not Funded"
"AA23064FYNPB","100000114744","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255598","TESTER198","Beneficial Owner","0.00","Not Funded"
"AA230646H26F","100000114787","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255605","TESTER205","Beneficial Owner","0.00","Not Funded"
"AA23064ZKSV7","100000114809","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255591","TESTER191","Beneficial Owner","0.00","Not Funded"
"AA23064YN9YC","100000114817","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255606","TESTER206","Beneficial Owner","0.00","Not Funded"
"AA23064C3C1H","100000114833","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255594","TESTER194","Beneficial Owner","0.00","Not Funded"
"AA230643WHWX","100000114857","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255598","TESTER198","Beneficial Owner","0.00","Not Funded"
"AA230641DRQ1","100000114868","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255588","TESTER188","Beneficial Owner","0.00","Not Funded"
"AA23064Q6M0G","100000114876","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255600","TESTER200","Beneficial Owner","0.00","Not Funded"
"AA23064DX1D0","100000114884","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255602","TESTER202","Beneficial Owner","0.00","Not Funded"
"AA2306434RPS","100000114906","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255607","TESTER207","Beneficial Owner","0.00","Not Funded"
"AA230640JZJT","100000114922","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255599","TESTER199","Beneficial Owner","0.00","Not Funded"
"AA23064QW3L1","100000114965","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255593","TESTER193","Beneficial Owner","0.00","Not Funded"
"AA23064LX8B2","100000114981","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255598","TESTER198","Beneficial Owner","0.00","Not Funded"
"AA23064GVMR4","100000114997","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255603","TESTER203","Beneficial Owner","0.00","Not Funded"
"AA23064YR89K","100000115047","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255605","TESTER205","Beneficial Owner","0.00","Not Funded"
"AA230645JX8T","100000115074","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255599","TESTER199","Beneficial Owner","0.00","Not Funded"
"AA23064HM7ZK","100000115082","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255601","TESTER201","Beneficial Owner","0.00","Not Funded"
"AA23064N7K0X","100000115128","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255603","TESTER203","Beneficial Owner","0.00","Not Funded"
"AA23064R8M86","100000115147","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255592","TESTER192","Beneficial Owner","0.00","Not Funded"
"AA23064HXDH1","100000115187","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255606","TESTER206","Beneficial Owner","0.00","Not Funded"
"AA23064B3SWM","100000115201","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255601","TESTER201","Beneficial Owner","0.00","Not Funded"
"AA23064QCPJG","100000115228","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255604","TESTER204","Beneficial Owner","0.00","Not Funded"
"AA23064TVJKW","100000115279","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255606","TESTER206","Beneficial Owner","0.00","Not Funded"
"AA230641B0DD","100000115287","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255600","TESTER200","Beneficial Owner","0.00","Not Funded"
"AA230645S2L8","100000115295","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255598","TESTER198","Beneficial Owner","0.00","Not Funded"
"AA23064LTB7V","100000115368","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255610","TESTER210","Beneficial Owner","0.00","Not Funded"
"AA23064J43YH","100000115376","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255605","TESTER205","Beneficial Owner","0.00","Not Funded"
"AA23064HDHHJ","100000115384","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255603","TESTER203","Beneficial Owner","0.00","Not Funded"
"AA23064KM214","100000115406","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255607","TESTER207","Beneficial Owner","0.00","Not Funded"
"AA23064HB7BC","100000115438","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255600","TESTER200","Beneficial Owner","0.00","Not Funded"
"AA23064MHM0R","100000115449","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255607","TESTER207","Beneficial Owner","0.00","Not Funded"
"AA23064T8D1Q","100000115457","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255595","TESTER195","Beneficial Owner","0.00","Not Funded"
"AA230644KLCJ","100000115465","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255601","TESTER201","Beneficial Owner","0.00","Not Funded"
"AA23064BVW4W","100000115497","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255611","TESTER211","Beneficial Owner","0.00","Not Funded"
"AA23064FXZ0F","100000115527","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255597","TESTER197","Beneficial Owner","0.00","Not Funded"
"AA23064899LP","100000115562","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255606","TESTER206","Beneficial Owner","0.00","Not Funded"
"AA230644FMWQ","100000115589","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255608","TESTER208","Beneficial Owner","0.00","Not Funded"
"AA23064XN3F2","100000115597","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255602","TESTER202","Beneficial Owner","0.00","Not Funded"
"AA23064Q8N01","100000115635","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255600","TESTER200","Beneficial Owner","0.00","Not Funded"
"AA23064TLC27","100000115694","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255604","TESTER204","Beneficial Owner","0.00","Not Funded"
"AA230640S8K9","100000115708","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255610","TESTER210","Beneficial Owner","0.00","Not Funded"
"AA23064LD2NG","100000115732","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255605","TESTER205","Beneficial Owner","0.00","Not Funded"
"AA23064L82HT","100000115759","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255610","TESTER210","Beneficial Owner","0.00","Not Funded"
"AA23064GSQWS","100000115767","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255607","TESTER207","Beneficial Owner","0.00","Not Funded"
"AA23064W4Z9Y","100000115783","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255594","TESTER194","Beneficial Owner","0.00","Not Funded"
"AA23064W2PQD","100000115805","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255607","TESTER207","Beneficial Owner","0.00","Not Funded"
"AA23064V595P","100000115821","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255611","TESTER211","Beneficial Owner","0.00","Not Funded"
"AA23064DB6XL","100000115888","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255601","TESTER201","Beneficial Owner","0.00","Not Funded"
"AA23064ZLBQZ","100000115899","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255609","TESTER209","Beneficial Owner","0.00","Not Funded"
"AA230644YNCG","100000115937","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255596","TESTER196","Beneficial Owner","0.00","Not Funded"
"AA23064BNT1J","100000115953","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255612","TESTER212","Beneficial Owner","0.00","Not Funded"
"AA23064SZQTR","100000115961","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255606","TESTER206","Beneficial Owner","0.00","Not Funded"
"AA23064SYN7R","100000115988","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255608","TESTER208","Beneficial Owner","0.00","Not Funded"
"AA23064Q7F9J","100000115996","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255599","TESTER199","Beneficial Owner","0.00","Not Funded"
"AA23064HBCKV","100000116003","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255604","TESTER204","Beneficial Owner","0.00","Not Funded"
"AA23064YM3GQ","100000116046","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255612","TESTER212","Beneficial Owner","0.00","Not Funded"
"AA230644HMYF","100000116054","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255610","TESTER210","Beneficial Owner","0.00","Not Funded"
"AA23064C3LF2","100000116062","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255613","TESTER213","Beneficial Owner","0.00","Not Funded"
"AA23064LD5ZK","100000116089","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255598","TESTER198","Beneficial Owner","0.00","Not Funded"
"AA230649FYBB","100000116108","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255614","TESTER214","Beneficial Owner","0.00","Not Funded"
"AA230647890R","100000116143","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255604","TESTER204","Beneficial Owner","0.00","Not Funded"
"AA230645Y0WD","100000116151","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255602","TESTER202","Beneficial Owner","0.00","Not Funded"
"AA23064CYCL0","100000116167","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255600","TESTER200","Beneficial Owner","0.00","Not Funded"
"AA230646H9H7","100000116224","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255611","TESTER211","Beneficial Owner","0.00","Not Funded"
"AA23064Y460J","100000116232","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255605","TESTER205","Beneficial Owner","0.00","Not Funded"
"AA23064Y6P66","100000116248","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255603","TESTER203","Beneficial Owner","0.00","Not Funded"
"AA23064TV80G","100000116291","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255610","TESTER210","Beneficial Owner","0.00","Not Funded"
"AA230649LTZ8","100000116305","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255613","TESTER213","Beneficial Owner","0.00","Not Funded"
"AA230646QMW8","100000116348","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255601","TESTER201","Beneficial Owner","0.00","Not Funded"
"AA23064V6YDR","100000116356","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255616","TESTER216","Beneficial Owner","0.00","Not Funded"
"AA2306473MCL","100000116364","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255611","TESTER211","Beneficial Owner","0.00","Not Funded"
"AA23064GGKGV","100000116399","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255614","TESTER214","Beneficial Owner","0.00","Not Funded"
"AA230645SNK7","100000116418","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255618","TESTER218","Beneficial Owner","0.00","Not Funded"
"AA23064C8Q4Q","100000116445","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255609","TESTER209","Beneficial Owner","0.00","Not Funded"
"AA23064ZTSHG","100000116461","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255616","TESTER216","Beneficial Owner","0.00","Not Funded"
"AA23064DCYG2","100000116488","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255607","TESTER207","Beneficial Owner","0.00","Not Funded"
"AA23064ZRG9Q","100000116496","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255613","TESTER213","Beneficial Owner","0.00","Not Funded"
"AA230646LWHC","100000116534","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255618","TESTER218","Beneficial Owner","0.00","Not Funded"
"AA230649R0T9","100000116558","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255612","TESTER212","Beneficial Owner","0.00","Not Funded"
"AA23064MVY2V","100000116569","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255606","TESTER206","Beneficial Owner","0.00","Not Funded"
"AA230649BBJS","100000116585","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255614","TESTER214","Beneficial Owner","0.00","Not Funded"
"AA230645R0KJ","100000116593","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255608","TESTER208","Beneficial Owner","0.00","Not Funded"
"AA23064JJ76F","100000116623","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255614","TESTER214","Beneficial Owner","0.00","Not Funded"
"AA230640Q2T5","100000116682","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255617","TESTER217","Beneficial Owner","0.00","Not Funded"
"AA230640SBH4","100000116712","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255620","TESTER220","Beneficial Owner","0.00","Not Funded"
"AA23064DPMPN","100000116728","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255604","TESTER204","Beneficial Owner","0.00","Not Funded"
"AA23064HNVLQ","100000116755","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255620","TESTER220","Beneficial Owner","0.00","Not Funded"
"AA230644CGY5","100000116763","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255600","TESTER200","Beneficial Owner","0.00","Not Funded"
"AA23064Z033G","100000116771","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255616","TESTER216","Beneficial Owner","0.00","Not Funded"
"AA23064ZK5LK","100000116798","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255613","TESTER213","Beneficial Owner","0.00","Not Funded"
"AA23064124ZK","100000116801","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255610","TESTER210","Beneficial Owner","0.00","Not Funded"
"AA23064QZ744","100000116817","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255618","TESTER218","Beneficial Owner","0.00","Not Funded"
"AA23064P89VH","100000116844","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255615","TESTER215","Beneficial Owner","0.00","Not Funded"
